common_name,inchikey,alternative_names
1-Nonanol,ZWRUINPWMLAQRD-UHFFFAOYSA-N,
4-Octanol,WOFPPJOZXUTRAU-UHFFFAOYSA-N,
2-Heptanol,CETWDUZRCINIHU-UHFFFAOYSA-N,
2-Hexanol,QNVRIHYSUZMSGM-UHFFFAOYSA-N,
3-Hexanol,ZOCHHNOQQHDWHG-UHFFFAOYSA-N,
1-Hexen-3-Ol,BVOSSZSHBZQJOI-UHFFFAOYSA-N,
Isobutanol,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,
Methyl Acetate,KXKVLQRXCPHEJC-UHFFFAOYSA-N,
Ethyl Acetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,
Propyl Acetate,YKYONYBAUNKHLG-UHFFFAOYSA-N,
Butyl Acetate,DKPFZGUDAPQIHT-UHFFFAOYSA-N,
Amyl Acetate,PGMYKACGEOXYJE-UHFFFAOYSA-N,
Hexyl acetate,AOGQPLXWSUTHQB-UHFFFAOYSA-N,
Isobutyl Acetate,GJRQTCIYDGXPES-UHFFFAOYSA-N,
Isoamyl Acetate,MLFHJEHSLIIPHL-UHFFFAOYSA-N,
"Hexenyl acetate, (2Z)-",HRHOWZHRCRZVCU-WAYWQWQTSA-N,
Methyl butyrate,UUIQMZJEGPQKFD-UHFFFAOYSA-N,
Ethyl butyrate,OBNCKNCVKJNDBV-UHFFFAOYSA-N,
Hexyl butyrate,XAPCMTMQBXLDBB-UHFFFAOYSA-N,
Ethyl 3-Hydroxybutyrate,OMSUIQOIVADKIM-UHFFFAOYSA-N,
Ethyl Propionate,FKRCODPIKNYEAC-UHFFFAOYSA-N,
Ethyl formate,WBJINCZRORDGAQ-UHFFFAOYSA-N,
Methyl hexanoate,NUKZAGXMHTUAFE-UHFFFAOYSA-N,
Ethyl hexanoate,SHZIWNPUGXLXDT-UHFFFAOYSA-N,
Hexyl hexanoate,NCDCLPBOMHPFCV-UHFFFAOYSA-N,
Methyl Octanoate,JGHZJRVDZXSNKQ-UHFFFAOYSA-N,
Ethyl octanoate,YYZUSRORWSJGET-UHFFFAOYSA-N,
Ethyl caprate,RGXWDWUGBIJHDO-UHFFFAOYSA-N,
Ethyl trans-crotonate,ZFDIRQKJPRINOQ-HWKANZROSA-N,
Ethyl Lactate,LZCLXQDLBQLTDK-UHFFFAOYSA-N,
Diethyl Succinate,DKMROQRQHGEIOW-UHFFFAOYSA-N,
Octyl Acetate,YLYBTZIQSIBWLI-UHFFFAOYSA-N,
Decyl acetate,NUPSHWCALHZGOV-UHFFFAOYSA-N,
Methyl propionate,RJUFJBKOKNCXHH-UHFFFAOYSA-N,
Propyl butyrate,HUAZGNHGCJGYNP-UHFFFAOYSA-N,
Butyl hexanoate,RPRPDTXKGSIXMD-UHFFFAOYSA-N,
