common_name,inchikey,alternative_names
BBMCTIGTTCKYKF-UHFFFAOYSA-N,BBMCTIGTTCKYKF-UHFFFAOYSA-N,
NMRPBPVERJPACX-UHFFFAOYSA-N,NMRPBPVERJPACX-UHFFFAOYSA-N,
ZWRUINPWMLAQRD-UHFFFAOYSA-N,ZWRUINPWMLAQRD-UHFFFAOYSA-N,
WOFPPJOZXUTRAU-UHFFFAOYSA-N,WOFPPJOZXUTRAU-UHFFFAOYSA-N,
CETWDUZRCINIHU-UHFFFAOYSA-N,CETWDUZRCINIHU-UHFFFAOYSA-N,
QNVRIHYSUZMSGM-UHFFFAOYSA-N,QNVRIHYSUZMSGM-UHFFFAOYSA-N,
ZOCHHNOQQHDWHG-UHFFFAOYSA-N,ZOCHHNOQQHDWHG-UHFFFAOYSA-N,
BVOSSZSHBZQJOI-UHFFFAOYSA-N,BVOSSZSHBZQJOI-UHFFFAOYSA-N,
ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,
KXKVLQRXCPHEJC-UHFFFAOYSA-N,KXKVLQRXCPHEJC-UHFFFAOYSA-N,
XEKOWRVHYACXOJ-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,
YKYONYBAUNKHLG-UHFFFAOYSA-N,YKYONYBAUNKHLG-UHFFFAOYSA-N,
DKPFZGUDAPQIHT-UHFFFAOYSA-N,DKPFZGUDAPQIHT-UHFFFAOYSA-N,
PGMYKACGEOXYJE-UHFFFAOYSA-N,PGMYKACGEOXYJE-UHFFFAOYSA-N,
AOGQPLXWSUTHQB-UHFFFAOYSA-N,AOGQPLXWSUTHQB-UHFFFAOYSA-N,
GJRQTCIYDGXPES-UHFFFAOYSA-N,GJRQTCIYDGXPES-UHFFFAOYSA-N,
MLFHJEHSLIIPHL-UHFFFAOYSA-N,MLFHJEHSLIIPHL-UHFFFAOYSA-N,
HRHOWZHRCRZVCU-WAYWQWQTSA-N,HRHOWZHRCRZVCU-WAYWQWQTSA-N,
UUIQMZJEGPQKFD-UHFFFAOYSA-N,UUIQMZJEGPQKFD-UHFFFAOYSA-N,
OBNCKNCVKJNDBV-UHFFFAOYSA-N,OBNCKNCVKJNDBV-UHFFFAOYSA-N,
XAPCMTMQBXLDBB-UHFFFAOYSA-N,XAPCMTMQBXLDBB-UHFFFAOYSA-N,
OMSUIQOIVADKIM-UHFFFAOYSA-N,OMSUIQOIVADKIM-UHFFFAOYSA-N,
FKRCODPIKNYEAC-UHFFFAOYSA-N,FKRCODPIKNYEAC-UHFFFAOYSA-N,
WBJINCZRORDGAQ-UHFFFAOYSA-N,WBJINCZRORDGAQ-UHFFFAOYSA-N,
NUKZAGXMHTUAFE-UHFFFAOYSA-N,NUKZAGXMHTUAFE-UHFFFAOYSA-N,
SHZIWNPUGXLXDT-UHFFFAOYSA-N,SHZIWNPUGXLXDT-UHFFFAOYSA-N,
NCDCLPBOMHPFCV-UHFFFAOYSA-N,NCDCLPBOMHPFCV-UHFFFAOYSA-N,
JGHZJRVDZXSNKQ-UHFFFAOYSA-N,JGHZJRVDZXSNKQ-UHFFFAOYSA-N,
YYZUSRORWSJGET-UHFFFAOYSA-N,YYZUSRORWSJGET-UHFFFAOYSA-N,
RGXWDWUGBIJHDO-UHFFFAOYSA-N,RGXWDWUGBIJHDO-UHFFFAOYSA-N,
ZFDIRQKJPRINOQ-HWKANZROSA-N,ZFDIRQKJPRINOQ-HWKANZROSA-N,
LZCLXQDLBQLTDK-UHFFFAOYSA-N,LZCLXQDLBQLTDK-UHFFFAOYSA-N,
DKMROQRQHGEIOW-UHFFFAOYSA-N,DKMROQRQHGEIOW-UHFFFAOYSA-N,
YLYBTZIQSIBWLI-UHFFFAOYSA-N,YLYBTZIQSIBWLI-UHFFFAOYSA-N,
NUPSHWCALHZGOV-UHFFFAOYSA-N,NUPSHWCALHZGOV-UHFFFAOYSA-N,
RJUFJBKOKNCXHH-UHFFFAOYSA-N,RJUFJBKOKNCXHH-UHFFFAOYSA-N,
HUAZGNHGCJGYNP-UHFFFAOYSA-N,HUAZGNHGCJGYNP-UHFFFAOYSA-N,
RPRPDTXKGSIXMD-UHFFFAOYSA-N,RPRPDTXKGSIXMD-UHFFFAOYSA-N,
SIKJAQJRHWYJAI-UHFFFAOYSA-N,SIKJAQJRHWYJAI-UHFFFAOYSA-N,
BTKXLQSCEOHKTF-SREVYHEPSA-N,BTKXLQSCEOHKTF-SREVYHEPSA-N,
XHIUFYZDQBSEMF-UHFFFAOYSA-N,XHIUFYZDQBSEMF-UHFFFAOYSA-N,
MCSINKKTEDDPNK-UHFFFAOYSA-N,MCSINKKTEDDPNK-UHFFFAOYSA-N,
GQKZRWSUJHVIPE-UHFFFAOYSA-N,GQKZRWSUJHVIPE-UHFFFAOYSA-N,
OMSUIQOIVADKIM-RXMQYKEDSA-N,OMSUIQOIVADKIM-RXMQYKEDSA-N,
OMSUIQOIVADKIM-YFKPBYRVSA-N,OMSUIQOIVADKIM-YFKPBYRVSA-N,
HCRBXQFHJMCTLF-UHFFFAOYSA-N,HCRBXQFHJMCTLF-UHFFFAOYSA-N,
XUPYJHCZDLZNFP-UHFFFAOYSA-N,XUPYJHCZDLZNFP-UHFFFAOYSA-N,
ICMAFTSLXCXHRK-UHFFFAOYSA-N,ICMAFTSLXCXHRK-UHFFFAOYSA-N,
ACCRBMDJCPPJDX-UHFFFAOYSA-N,ACCRBMDJCPPJDX-UHFFFAOYSA-N,
LYRIITRHDCNUHV-UHFFFAOYSA-N,LYRIITRHDCNUHV-UHFFFAOYSA-N,
HTUIWRWYYVBCFT-UHFFFAOYSA-N,HTUIWRWYYVBCFT-UHFFFAOYSA-N,
ZARFDQHJMNVNLE-WEVVVXLNSA-N,ZARFDQHJMNVNLE-WEVVVXLNSA-N,
FFOPEPMHKILNIT-UHFFFAOYSA-N,FFOPEPMHKILNIT-UHFFFAOYSA-N,
YYJWBYNQJLBIGS-PLNGDYQASA-N,YYJWBYNQJLBIGS-PLNGDYQASA-N,
OAPHLAAOJMTMLY-GQCTYLIASA-N,OAPHLAAOJMTMLY-GQCTYLIASA-N,
VUPBIVVRPJDWNW-FNORWQNLSA-N,VUPBIVVRPJDWNW-FNORWQNLSA-N,
PPXUHEORWJQRHJ-UHFFFAOYSA-N,PPXUHEORWJQRHJ-UHFFFAOYSA-N,
ZCZSIDMEHXZRLG-UHFFFAOYSA-N,ZCZSIDMEHXZRLG-UHFFFAOYSA-N,
NPFVOOAXDOBMCE-PLNGDYQASA-N,NPFVOOAXDOBMCE-PLNGDYQASA-N,
OUGPMNMLWKSBRI-UHFFFAOYSA-N,OUGPMNMLWKSBRI-UHFFFAOYSA-N,
GJQIMXVRFNLMTB-UHFFFAOYSA-N,GJQIMXVRFNLMTB-UHFFFAOYSA-N,
BTMVHUNTONAYDX-UHFFFAOYSA-N,BTMVHUNTONAYDX-UHFFFAOYSA-N,
IEMMBWWQXVXBEU-UHFFFAOYSA-N,IEMMBWWQXVXBEU-UHFFFAOYSA-N,
GSCLMSFRWBPUSK-UHFFFAOYSA-N,GSCLMSFRWBPUSK-UHFFFAOYSA-N,
GAEKPEKOJKCEMS-UHFFFAOYSA-N,GAEKPEKOJKCEMS-UHFFFAOYSA-N,
OALYTRUKMRCXNH-QMMMGPOBSA-N,OALYTRUKMRCXNH-QMMMGPOBSA-N,
VLSVVMPLPMNWBH-UHFFFAOYSA-N,VLSVVMPLPMNWBH-UHFFFAOYSA-N,
solvent,solvent,
IMNFDUFMRHMDMM-UHFFFAOYSA-N,IMNFDUFMRHMDMM-UHFFFAOYSA-N,
TVMXDCGIABBOFY-UHFFFAOYSA-N,TVMXDCGIABBOFY-UHFFFAOYSA-N,
BKIMMITUMNQMOS-UHFFFAOYSA-N,BKIMMITUMNQMOS-UHFFFAOYSA-N,
CURLTUGMZLYLDI-UHFFFAOYSA-N,CURLTUGMZLYLDI-UHFFFAOYSA-N,
UXFSPRAGHGMRSQ-UHFFFAOYSA-N,UXFSPRAGHGMRSQ-UHFFFAOYSA-N,
RWRDLPDLKQPQOW-UHFFFAOYSA-N,RWRDLPDLKQPQOW-UHFFFAOYSA-N,
QSZKEDWVAOAFQY-HJWRWDBZSA-N,QSZKEDWVAOAFQY-HJWRWDBZSA-N,
ALSTYHKOOCGGFT-KTKRTIGZSA-N,ALSTYHKOOCGGFT-KTKRTIGZSA-N,
XMLQWXUVTXCDDL-FPLPWBNLSA-N,XMLQWXUVTXCDDL-FPLPWBNLSA-N,
GYGAZRPDUOHMAF-KHPPLWFESA-N,GYGAZRPDUOHMAF-KHPPLWFESA-N,
UWHZIFQPPBDJPM-FPLPWBNLSA-N,UWHZIFQPPBDJPM-FPLPWBNLSA-N,
PVVODBCDJBGMJL-CMDGGOBGSA-N,PVVODBCDJBGMJL-CMDGGOBGSA-N,
VLKZOEOYAKHREP-UHFFFAOYSA-N,VLKZOEOYAKHREP-UHFFFAOYSA-N,
MGSRCZKZVOBKFT-UHFFFAOYSA-N,MGSRCZKZVOBKFT-UHFFFAOYSA-N,
RWCCWEUUXYIKHB-UHFFFAOYSA-N,RWCCWEUUXYIKHB-UHFFFAOYSA-N,
KFZMGEQAYNKOFK-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,
CLUWOWRTHNNBBU-UHFFFAOYSA-N,CLUWOWRTHNNBBU-UHFFFAOYSA-N,
NOOLISFMXDJSKH-KXUCPTDWSA-N,NOOLISFMXDJSKH-KXUCPTDWSA-N,
JLPUXFOGCDVKGO-GRYCIOLGSA-N,JLPUXFOGCDVKGO-GRYCIOLGSA-N,
BHHGXPLMPWCGHP-UHFFFAOYSA-N,BHHGXPLMPWCGHP-UHFFFAOYSA-N,
DKIDEFUBRARXTE-UHFFFAOYSA-N,DKIDEFUBRARXTE-UHFFFAOYSA-N,
FEXQDZTYJVXMOS-UHFFFAOYSA-N,FEXQDZTYJVXMOS-UHFFFAOYSA-N,
HPNMFZURTQLUMO-UHFFFAOYSA-N,HPNMFZURTQLUMO-UHFFFAOYSA-N,
HVGZQCSMLUDISR-UHFFFAOYSA-N,HVGZQCSMLUDISR-UHFFFAOYSA-N,
ISWSIDIOOBJBQZ-UHFFFAOYSA-N,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,
JMMWKPVZQRWMSS-UHFFFAOYSA-N,JMMWKPVZQRWMSS-UHFFFAOYSA-N,
JUJWROOIHBZHMG-UHFFFAOYSA-N,JUJWROOIHBZHMG-UHFFFAOYSA-N,
